BensDeclarados;nr_candidato
R$ 121.700,00;65065
R$ 0,00;51333
R$ 0,00;15345
R$ 1.656.000,00;51345
R$ 0,00;50105
R$ 156.000,00;51789
R$ 1.686.500,00;65400
R$ 12.000,00;22123
R$ 1.510.000,00;11122
R$ 845.000,00;65199
R$ 1.940.118,00;13222
R$ 155.000,00;65456
R$ 479.448,00;65153
R$ 392.961,00;55055
